id;mapa;matricula_motorista;status;inicio;fim;criado_em;tem_divergencia;tem_avaria;total_itens;itens_conferidos;itens_avariados;duracao_minutos
67;228746;06;completed;23/03/2026 07:42:17;23/03/2026 07:44:40;23/03/2026 07:42:17;Nao;Nao;0;0;0;2.4
66;228744;10636610721;completed;23/03/2026 07:09:17;23/03/2026 07:11:44;23/03/2026 07:09:17;Nao;Nao;0;0;0;2.5
65;228734;584;completed;23/03/2026 07:08:47;23/03/2026 07:11:18;23/03/2026 07:08:47;Nao;Nao;0;0;0;2.5
64;228741;060;completed;23/03/2026 07:08:30;23/03/2026 07:11:49;23/03/2026 07:08:30;Nao;Nao;0;0;0;3.3
63;228739;0539;completed;23/03/2026 07:07:38;23/03/2026 07:09:49;23/03/2026 07:07:39;Nao;Nao;0;0;0;2.2
62;228731;1007;completed;23/03/2026 07:03:24;23/03/2026 07:22:27;23/03/2026 07:03:24;Nao;Nao;0;0;0;19.0
61;228736;0120;completed;23/03/2026 07:03:03;23/03/2026 07:12:08;23/03/2026 07:03:03;Nao;Nao;0;0;0;9.1
60;228718;0740;completed;21/03/2026 07:46:34;21/03/2026 07:51:13;21/03/2026 07:46:34;Nao;Nao;0;0;0;4.6
59;228707;062;completed;21/03/2026 07:43:37;21/03/2026 07:49:41;21/03/2026 07:43:37;Nao;Nao;0;0;0;6.1
58;228705;0646;completed;21/03/2026 07:40:31;21/03/2026 07:44:38;21/03/2026 07:40:31;Sim;Nao;0;0;0;4.1
57;228711;0741;completed;21/03/2026 07:39:47;21/03/2026 07:41:40;21/03/2026 07:39:47;Nao;Nao;0;0;0;1.9
56;228704;1008;completed;21/03/2026 07:38:01;21/03/2026 07:46:52;21/03/2026 07:38:01;Nao;Nao;0;0;0;8.9
55;228716;38000076;completed;21/03/2026 07:36:03;21/03/2026 07:39:14;21/03/2026 07:36:03;Nao;Nao;0;0;0;3.2
54;228708;123;completed;21/03/2026 07:34:53;21/03/2026 07:37:13;21/03/2026 07:34:53;Nao;Nao;0;0;0;2.3
53;228712;90;completed;21/03/2026 07:33:35;21/03/2026 07:37:16;21/03/2026 07:33:35;Nao;Nao;0;0;0;3.7
52;228715;06;completed;21/03/2026 07:26:48;21/03/2026 07:28:13;21/03/2026 07:26:48;Nao;Nao;0;0;0;1.4
51;228714;0061;completed;21/03/2026 07:01:00;21/03/2026 07:02:59;21/03/2026 07:01:00;Nao;Nao;0;0;0;2.0
50;228710;0539;completed;21/03/2026 06:57:30;21/03/2026 06:59:30;21/03/2026 06:57:30;Nao;Nao;0;0;0;2.0
49;228703;1007;completed;21/03/2026 06:52:33;21/03/2026 07:07:35;21/03/2026 06:52:33;Nao;Nao;0;0;0;15.0
48;228713;313;completed;21/03/2026 06:51:32;21/03/2026 06:53:52;21/03/2026 06:51:32;Nao;Nao;0;0;0;2.3
47;228719;0091;completed;21/03/2026 06:49:33;21/03/2026 06:57:46;21/03/2026 06:49:33;Nao;Nao;0;0;0;8.2
46;228720;584;completed;21/03/2026 06:48:27;21/03/2026 06:57:21;21/03/2026 06:48:27;Nao;Nao;0;0;0;8.9
45;228706;0120;completed;21/03/2026 06:46:14;21/03/2026 06:55:38;21/03/2026 06:46:14;Nao;Nao;0;0;0;9.4
44;228682;0740;completed;20/03/2026 07:45:21;20/03/2026 07:52:10;20/03/2026 07:45:21;Nao;Nao;0;0;0;6.8
43;228692;062;completed;20/03/2026 07:43:29;20/03/2026 07:55:29;20/03/2026 07:43:29;Nao;Nao;0;0;0;12.0
42;228693;0741;in_progress;20/03/2026 07:41:35;;20/03/2026 07:41:35;Nao;Nao;0;0;0;
41;228691;38000076;completed;20/03/2026 07:40:04;20/03/2026 07:42:11;20/03/2026 07:40:04;Nao;Nao;0;0;0;2.1
40;228694;90;completed;20/03/2026 07:38:57;20/03/2026 07:40:22;20/03/2026 07:38:57;Nao;Nao;0;0;0;1.4
39;228685;06;completed;20/03/2026 07:38:14;20/03/2026 07:39:25;20/03/2026 07:38:14;Nao;Nao;0;0;0;1.2
38;228680;0646;completed;20/03/2026 07:37:53;20/03/2026 07:40:31;20/03/2026 07:37:53;Nao;Nao;0;0;0;2.6
37;228679;0008;in_progress;20/03/2026 07:35:49;;20/03/2026 07:35:49;Nao;Nao;0;0;0;
36;228697;0729;completed;20/03/2026 07:33:54;20/03/2026 07:41:30;20/03/2026 07:33:54;Nao;Nao;0;0;0;7.6
35;228687;55;completed;20/03/2026 07:16:18;20/03/2026 07:17:42;20/03/2026 07:16:18;Nao;Nao;0;0;0;1.4
34;228696;584;completed;20/03/2026 07:00:28;20/03/2026 07:02:43;20/03/2026 07:00:28;Nao;Nao;0;0;0;2.3
33;228684;0539;completed;20/03/2026 06:59:40;20/03/2026 07:05:31;20/03/2026 06:59:40;Nao;Nao;0;0;0;5.9
32;228698;313;completed;20/03/2026 06:59:37;20/03/2026 07:01:39;20/03/2026 06:59:37;Nao;Nao;0;0;0;2.0
31;228683;1007;completed;20/03/2026 06:57:04;20/03/2026 07:48:39;20/03/2026 06:57:04;Nao;Nao;0;0;0;51.6
30;228690;0061;completed;20/03/2026 06:56:54;20/03/2026 07:04:11;20/03/2026 06:56:54;Nao;Nao;0;0;0;7.3
29;228686;663;completed;20/03/2026 06:56:50;20/03/2026 07:03:38;20/03/2026 06:56:50;Nao;Nao;0;0;0;6.8
28;228688;0120;completed;20/03/2026 06:52:10;20/03/2026 07:03:48;20/03/2026 06:52:10;Nao;Nao;0;0;0;11.6
27;228660;0646;completed;19/03/2026 14:45:37;19/03/2026 14:48:15;19/03/2026 14:45:37;Nao;Nao;0;0;0;2.6
26;228657;90;completed;19/03/2026 07:47:35;19/03/2026 07:55:22;19/03/2026 07:47:35;Nao;Nao;0;0;0;7.8
25;228648;1008;completed;19/03/2026 07:47:13;19/03/2026 07:52:19;19/03/2026 07:47:13;Nao;Nao;0;0;0;5.1
24;228646;0729;completed;19/03/2026 07:47:08;19/03/2026 07:53:08;19/03/2026 07:47:08;Nao;Nao;0;0;0;6.0
23;228654;062;completed;19/03/2026 07:43:14;19/03/2026 07:50:55;19/03/2026 07:43:14;Nao;Nao;0;0;0;7.7
22;228659;0646;completed;19/03/2026 07:42:44;19/03/2026 07:48:57;19/03/2026 07:42:44;Nao;Nao;0;0;0;6.2
21;228668;0740;completed;19/03/2026 07:42:25;19/03/2026 07:47:09;19/03/2026 07:42:25;Nao;Nao;0;0;0;4.7
20;228662;0740;completed;19/03/2026 07:38:44;19/03/2026 07:53:34;19/03/2026 07:38:44;Sim;Nao;0;0;0;14.8
19;228658;0008;completed;19/03/2026 07:38:19;19/03/2026 07:44:34;19/03/2026 07:38:20;Nao;Nao;0;0;0;6.2
18;228665;0742;completed;19/03/2026 07:38:05;19/03/2026 07:43:45;19/03/2026 07:38:05;Nao;Nao;0;0;0;5.7
17;228664;6;completed;19/03/2026 07:34:41;19/03/2026 07:36:15;19/03/2026 07:34:41;Nao;Nao;0;0;0;1.6
16;228650;38000076;completed;19/03/2026 07:34:15;19/03/2026 07:55:08;19/03/2026 07:34:15;Nao;Nao;0;0;0;20.9
15;228663;592;completed;19/03/2026 07:14:35;19/03/2026 07:20:02;19/03/2026 07:14:35;Sim;Nao;0;0;0;5.5
14;228649;0061;completed;19/03/2026 06:58:38;19/03/2026 07:09:29;19/03/2026 06:58:38;Nao;Nao;0;0;0;10.8
13;228653;663;completed;19/03/2026 06:58:33;19/03/2026 07:07:56;19/03/2026 06:58:33;Nao;Nao;0;0;0;9.4
12;228647;313;completed;19/03/2026 06:58:14;19/03/2026 07:00:36;19/03/2026 06:58:14;Nao;Nao;0;0;0;2.4
11;228651;0539;completed;19/03/2026 06:58:06;19/03/2026 07:01:20;19/03/2026 06:58:06;Nao;Nao;0;0;0;3.2
10;228645;584;completed;19/03/2026 06:53:43;19/03/2026 06:58:23;19/03/2026 06:53:43;Nao;Nao;0;0;0;4.7
9;228666;0120;completed;19/03/2026 06:53:32;19/03/2026 06:58:03;19/03/2026 06:53:32;Nao;Nao;0;0;0;4.5
8;228652;0091;completed;19/03/2026 06:53:11;19/03/2026 06:57:40;19/03/2026 06:53:11;Nao;Nao;0;0;0;4.5
